"Decision by","Case number/name",Jurisdiction,"Date of decision","Relevant GDPR articles","Relevant EU laws","Relevant national/other laws","Type of decision & outcome",Fine,Parties,Contributor,Summary
"Court: Högsta förvaltningsdomstolen","Mål nr 3691-22",Sweden,17.11.2023,78(1),,,,,IMY,sh,"The Swedish Supreme Administrative Court determined that data subjects have the right to appeal decisions that are dismissed or rejected by the Swedish DPA under Article 78(1) GDPR."
"Court: VG Berlin","1 K 561/21",Germany,12.10.2023,"4(1), 15(3), 17(3), 18(1), 58(2)",,"§ 20(1) Berlin Data Protection Act
§ 20(5) Berlin Data Protection Act",,,"S-Bahn Berlin
Berlin DPA",'-,"The Berlin Administrative Court, on appeal, annulled a reprimand issued by the Berlin DPA and ruled that the operator of the Berlin S-Bahn network, as a controller, is not required to provide CCTV recordings to a data subject requesting access under Article 15 GDPR."
"DPA: Datatilsynet (Denmark)",2022-432-0099,Denmark,08.11.2023,"5(1)(c), 58(2)(b), 58(2)(f)",,,"Investigation → Violation Found",,Digitaliseringsstyrelsen,"Rie Aleksandra Walle","The Danish DPA banned the Government's Driving Licence app from continuing the processing of personal data of 2.26 million citizens who had not actively joined the app. This processing was found to be in breach of the data minimisation principle under Article 5(1)(c) GDPR."
"DPA: DPC (Ireland)","28.09.2023 (complaint reference redacted)",Ireland,28.09.2023,"5(1)(c), 5(1)(e), 6(1)(f), 13(1)(c), 13(1)(d), 17(1), 58(2)(d), 60",,,"Complaint → Partly Upheld",,"AirBnb Ireland UC",R_e_,"In the context of a procedure under Article 60 GDPR, the Irish DPC reprimanded AirBnb Ireland for infringing the data processing principles of data minimisation and storage limitation and for invalidly relying on Article 6(1)(f) GDPR as a ground for processing, when retaining a data subject's ID documents."
"DPA: CNIL (France)",CNIL-SAN-2023-016,France,09.11.2023,5(1)(b),,"Article 20, Law No. 78-17 of 6 January 1978 relating to data processing, files and freedoms","Complaint → Upheld",,"Ministry of Economy, Finance and Industrial and Digital Sovereignty",R_e_,"The French DPA found that two French Ministries had breached Article 5(1)(b) GDPR. The Ministries had used the email addresses of 2,346,303 public servants to share a video promoting the pension reform - against the original purposes of the data processing, limited to administrative communications to employees."
"DPA: Datatilsynet (Denmark)",2021-431-0163,Denmark,28.09.2023,"32(1), 58(2)(b)",,,"Investigation → Violation Found",,"Mindworking A/S","Rie Aleksandra Walle","The Danish DPA reprimanded a processor, an all-in-one platform for the real estate industry, for breaching Article 32(1) GDPR. The processor had implemented poor security on its platform since users could view confidential data in the source code simply by accessing the browser developer tools."
"Court: PVN","2023-14 (21/01067)",Norway,07.11.2023,"57(1)(f), 77",,,"Complaint → Upheld",,,"Rie Aleksandra Walle","The Norwegian Privacy Appeals Board overruled the DPA's decision to close a complaint case with just an informational letter to the controller, mandating them to assess the lawfulness of the processing, emphasising that the DPA cannot freely choose which cases to investigate or not."
"Court: Raad van State",ECLI:NL:RVS:2023:4155,Netherlands,08.11.2023,2(1),,,,,"Ministry of Finance",'-,"The Netherlands’ highest administrative court, the Council of State, ruled that the data processing activities of the Fiscal Intelligence and Investigation Services (FIOD) were excluded from the material scope of the GDPR under Article 2(1)(d) GDPR."
"DPA: Garante per la protezione dei dati personali (Italy)",9949453,Italy,12.10.2023,"5(1)(a), 5(2), 6(1)(a), 7, 12(1), 13, 15, 21, 24(1), 24(2), 25",,"Article 130 Codice Privacy","Complaint → Upheld","70000 EUR","Scionti Selezioni Superiori S.r.l.","Luca Brocca","Italian DPA fines Scionti Selezioni Superiori S.r.l. €70,000 for unsolicited telemarketing calls to individuals in the Public Register of Oppositions, breaching Articles 5, 6, 7, 12, 13, 15, 21, 24, and 25 GDPR and Article 130 of the Italian Privacy Code."
"DPA: CNPD (Luxembourg)",13FR/2023,Luxembourg,21.09.2023,5(1)(b),,,"Investigation → Violation Found","2500 EUR","Public organisation A
Public organisation B",lszabo,"The Luxembourgish DPA issued a fine of €2,500 to two public bodies due to their usage of geolocation systems to track vehicles used by their employees. The DPA found a violation of Article 5(1)(b) GDPR, Article 5(1)(c) GDPR and Article 13 GDPR."
"DPA: IMY (Sweden)",DI-2021-3422,Sweden,,32(1),,,"Complaint → Upheld","500,000 SEK",,sh,"The Swedish DPA fined a securities company 500,000 SEK (around €43,700) for incorrectly sending an email containing a file with personal data, resulting in a breach of Article 32(1) GDPR."
"DPA: HDPA (Greece)",33/2023,Greece,11.04.2023,"5(1)(a), 5(1)(c), 6(1)(c), 17(1), 57(1)(c), 58(2)",,,"Complaint → Upheld","5000 EUR",,"Iliana Papantoni","The Hellenic DPA imposed a fine and reprimanded the Municipality X for having unlawfully processed personal data, by uploading on diavgeia and on the Municipality's website acts/decisions including personal data of the data subject, and for having not complied with the request for erasure."
"Court: First-tier Tribunal","Dennerlein v The Information Commissioner (2023) UKFTT 942 (GRC)","United Kingdom",06.11.2023,77,,,,,"Sandra Dennerlein
The Information Commissioner",sh,"A UK Tribunal decided that a data subject could not use Section 166 of the UK Data Protection Act 2018 to ask a court to force the British DPA to adopt a different complaint outcome."
"Court: Rb. Amsterdam",ECLI:NL:RBAMS:2023:6456,Netherlands,26.10.2023,"17, 21",,,,,"ING Bank",'-,"The District Court of Amsterdam held that a data subject’s right to be forgotten under Article 17 GDPR overrode the interests of a credit ranking agency in holding their financial records."
"Court: FtT","(2023) UKFTT 915 (GRC)","United Kingdom",20.10.2023,,,"Rule 8(3)(c) of the 2009 Rule
Section 165 of the Data Protection Act 2018
Section 166 of the Data Protection Act 2018",,,"Jashu Vestani (Appellant)
Information Commissioner (Respondent)","Maria Chiara Zaccaria","A lower UK court did not consider itself competent to review the UK DPA's decision because the latter is considered the expert regulator."
"Court: Rb. Oost-Brabant",ECLI:NL:RBZWB:2023:7274,Netherlands,18.10.2023,"15, 17, 22",,,,,,'-,"The Court of East Brabant rejected a data subject's Article 17 GDPR and Article 22 GDPR claims, which the data subject had originally made to the Municipality of Oisterwijk. The Municipality had valid grounds to reject the requests."
"DPA: APD/GBA (Belgium)",DOS-2020-00200,Belgium,26.10.2023,"4(1), 6(1)(f)",,,"Complaint → Upheld",,,"Matthias Vandamme","The Belgian DPA found that a college's communication of the reasons for dismissal of one of its former teachers to their colleagues and students was in violation of Article 6(1)(f) GDPR. Including the reason for dismissal was not necessary."
"Court: Rb. Rotterdam","9519423 \ CV EXPL 21-35975",Netherlands,16.09.2022,"6(1)(e), 6(1)(f), 17(1)(c), 17(1)(d), 21(1)",,"Article 350 Wetboek van Strafvordering
Protocol Incident Warning System Financial Institutions 2021 Article 5.2.1",,,"plaintiff 1
plaintiff 2
N.V. UNIVÉ SCHADE
STICHTING UNIVÉ RECHTSHULP",Lorenz,"The denial to delete the data subject's data from a database cointaing information about insurance frauds was considered as legitimate as it was proven that they indeed committed a fraud against the controller."
"DPA: ANSPDCP (Romania)","Fine against SC Spark Car Sharing SRL",Romania,,"5(1)(a), 5(1)(b), 6(1), 7, 17",,,"Investigation → Violation Found","1000 EUR","SC Spark Car Sharing SRL","Diana Rosu","The Romanian DPA fined a car sharing company approximately EUR 1,000 for sending marketing communications without a legal basis, and for continuing to send communications to a data subject after they submitted a data deletion request with the controller."
"Court: BVwG","W176 2265088-1",Austria,06.10.2023,"5(1)(a), 6(1), 6(1)(f), 12, 13, 14, 17",,,,,,co,"The Austrian Federal Administrative Court (Bundesverwaltungsgericht - BVwG)  reversed the decision of the Austrian DPA (Datenschutzbehörde - DSB) concerning the lawfulness of processing activities by a credit agency, stating that relevant payment history data of a data subject could lawfully be saved by the agency up to five years from the date of settlement of outstanding debts."
"DPA: CNIL (France)",2023-097,France,07.09.2023,"5(1)(c), 5(1)(e), 5(1)(b), 6(1)(e), 9(2)(j), 14(5)(b), 28, 36",,,Other,,"University of Bordeaux",R_e_,"Following a request for prior consultation under Article 36 GDPR, the French DPA authorised the University of Bordeaux to implement automated processing of personal data for a study comparing health trajectories leading to cardio-metabolic diseases, to evaluate the interoperability of European health data."
"Court: Rb. Amsterdam",ECLI:NL:RBAMS:2023:6530,Netherlands,18.10.2023,"6(1)(a), 79",,"Article 11.7a of the Telecommunications Act",,,Criteo,'-,"The Amsterdam District Court ruled that the digital advertising platform, Criteo, was in violation of Article 6(1) GDPR for failing to obtain users’ consent prior to placing tracking cookies on their devices. Moreover, it held that Criteo and its partner websites, were joint controllers for the purpose of Article 26 GDPR, and thus both Criteo and its partner websites were responsible for ensuring that valid consent had been obtained prior to the placement of cookies."
"DPA: CNIL (France)",SAN-2023-015,France,12.10.2023,"7(1), 12(3), 13, 14, 15, 28(3), 32, 33",,"Article L. 34-5 of the CPCE","Investigation → Violation Found","600000 EUR",,ar,"The French DPA fined GROUPE CANAL+ €600,000 after receiving 31 complaints for the failure to comply with several GDPR Articles. The fine relates in particular to ‘cold’ calls, the exercise of rights by the data subjects, safety issues concerning the company's employees’ passwords and the company’s failure to notify the DPA when a serious personal data breach took place in 2020."
"DPA: AEPD (Spain)",PS/00331/2023,Spain,,5(1)(c),,,"Complaint → Upheld","2000 EUR","UNIQUE HOTEL APARTMENT. S.L.",CSO,"Spain's supervisory authority (the AEPD) fined a hotel €2,000 for scanning the ID cards of its customers where not required by applicable law and, therefore, in breach of the Article 5(1)(c) GDPR on the principle of minimisation."
"DPA: DSB (Austria)","DSB 2023-0.404.421",Austria,16.06.2023,"5(1)(a), 5(1)(b), 6(1)(f), 6(4), 83(2)(b)",,,"Complaint → Upheld","1000 EUR",,co,"The Austrian DPA issued a €1,000 monetary penalty against a controller for unlawfully further processing personal data in breach of Article 6(4) GDPR. The further purpose was political advertisement."
"Court: BVwG","W256 2234851-1",Austria,27.09.2023,"4(4), 15(1)(h)",,"§ 151 Abs. 6 GewO",,,,co,"An Austrian court partially dismissed a decision of the Austrian DPA, holding that an address publisher should not provide data subjects with meaningful information under Article 15(1)(h) GDPR when it does not carry out profiling within the meaning of Article 22 GDPR."
"DPA: NAIH (Hungary)",NAIH-5377-12/2023,Hungary,06.09.2023,"5(1)(c), 6(1)(b), 6(1)(c), 77(1)",,,"Complaint → Rejected",,,"Laszlo Szabo","The processing of a minor's personal data by a bank, for the purpose of a of a 'baby loan', was lawful under Article 6(1)(c) GDPR as the bank was legally obligated to collect the minor's personal data under domestic law."
"DPA: CNIL (France)",CNIL2326885X,France,20.07.2023,"5(2), 9(4)",,"code de la santé publique article L. 1461-3
loi n° 78-17 du 6 janvier 1978 modifiée (loi ""informatique et libertés"")","Advisory Opinion",,,nikolaos.konstantis,"The CNIL has adopted two new reference methodologies to enable public bodies (MR-007) to process data from the main database of the National Health Data System(SNDS), beyond the Medicalization of Information Systems Program (PMSI). The MR-007 reference methodology governs access by organizations acting within the framework of their public interest mission to data from the main database of the National Health Data System."
"DPA: CNIL (France)",CNIL2326891X,France,20.07.2023,"5(2), 9(4)",,"Article 72, Law No. 78-17 of January 6, 1978 relating to data processing, files and freedoms","Advisory Opinion",,,violette_maris,"The National Commission for Information Technology and Liberties (CNIL) approved a reference methodology for health data processing by organisations, acting within a framework of legitimate interests (MR-008)."
"DPA: AEPD (Spain)",E/12707/2022,Spain,,"5(1)(f), 32(1)",,,"Complaint → Upheld",,"Consellería del Mar
A.A.A","Genoveva Gil","Consellería del Mar sent a notification containing third parties’ personal data. The breach was due to a human error, and the Spanish DPA concluded that there was an infringement of Articles 5(1)(f) and 32(1) of the GDPR."
"Court: BVwG","W214 2275073-1",Austria,02.10.2023,"15, 56, 60, 65",,"§24 Abs. 10 DSG
§38 AVG",,,,co,"An Austrian court held, on appeal, that the Austrian DPA unlawfully suspended a complaint procedure on the basis of Article 60 GDPR."
"DPA: Garante per la protezione dei dati personali (Italy)",9938413,Italy,31.08.2023,"5(1)(a), 5(1)(c), 5(1)(f), 10, 83(5)",,"Article 166(2) Codice Privacy
Article 2-octies Codice Privacy","Complaint → Upheld","20000 EUR",,ar,"The Italian DPA fined the Italian Bar Association €20,000 for publishing information of two complainant on their website without a legitimate legal basis, in accordance with the combined provisions of Article 10 GDPR and Article 2-octies of the Italian Privacy Code."
